timestamp,datetime,comment-id,voter-id,vote
1774343775,Tue Mar 24 2026 09:16:15 GMT+0000 (Coordinated Universal Time),0,0,0
1774369853,Tue Mar 24 2026 16:30:53 GMT+0000 (Coordinated Universal Time),0,4,1
1774343783,Tue Mar 24 2026 09:16:23 GMT+0000 (Coordinated Universal Time),1,0,0
1774369833,Tue Mar 24 2026 16:30:33 GMT+0000 (Coordinated Universal Time),1,4,1
1774343792,Tue Mar 24 2026 09:16:32 GMT+0000 (Coordinated Universal Time),2,0,0
1774369905,Tue Mar 24 2026 16:31:45 GMT+0000 (Coordinated Universal Time),2,4,1
1774343800,Tue Mar 24 2026 09:16:40 GMT+0000 (Coordinated Universal Time),3,0,0
1774363541,Tue Mar 24 2026 14:45:41 GMT+0000 (Coordinated Universal Time),3,1,1
1774369222,Tue Mar 24 2026 16:20:22 GMT+0000 (Coordinated Universal Time),3,3,1
1774369800,Tue Mar 24 2026 16:30:00 GMT+0000 (Coordinated Universal Time),3,4,-1
1774376130,Tue Mar 24 2026 18:15:30 GMT+0000 (Coordinated Universal Time),3,6,1
1774370664,Tue Mar 24 2026 16:44:24 GMT+0000 (Coordinated Universal Time),3,15,1
1774343808,Tue Mar 24 2026 09:16:48 GMT+0000 (Coordinated Universal Time),4,0,0
1774369884,Tue Mar 24 2026 16:31:24 GMT+0000 (Coordinated Universal Time),4,4,1
1774343814,Tue Mar 24 2026 09:16:54 GMT+0000 (Coordinated Universal Time),5,0,0
1774363534,Tue Mar 24 2026 14:45:34 GMT+0000 (Coordinated Universal Time),5,1,1
1774370222,Tue Mar 24 2026 16:37:02 GMT+0000 (Coordinated Universal Time),5,3,1
1774369820,Tue Mar 24 2026 16:30:20 GMT+0000 (Coordinated Universal Time),5,4,1
1774343824,Tue Mar 24 2026 09:17:04 GMT+0000 (Coordinated Universal Time),6,0,0
1774375737,Tue Mar 24 2026 18:08:57 GMT+0000 (Coordinated Universal Time),6,3,1
1774369899,Tue Mar 24 2026 16:31:39 GMT+0000 (Coordinated Universal Time),6,4,1
1774343832,Tue Mar 24 2026 09:17:12 GMT+0000 (Coordinated Universal Time),7,0,0
1774394265,Tue Mar 24 2026 23:17:45 GMT+0000 (Coordinated Universal Time),7,1,1
1774369847,Tue Mar 24 2026 16:30:47 GMT+0000 (Coordinated Universal Time),7,4,-1
1774414801,Wed Mar 25 2026 05:00:01 GMT+0000 (Coordinated Universal Time),7,9,1
1774343840,Tue Mar 24 2026 09:17:20 GMT+0000 (Coordinated Universal Time),8,0,0
1774369828,Tue Mar 24 2026 16:30:28 GMT+0000 (Coordinated Universal Time),8,4,1
1774343846,Tue Mar 24 2026 09:17:26 GMT+0000 (Coordinated Universal Time),9,0,0
1774369895,Tue Mar 24 2026 16:31:35 GMT+0000 (Coordinated Universal Time),9,4,1
1774414280,Wed Mar 25 2026 04:51:20 GMT+0000 (Coordinated Universal Time),9,8,1
1774343856,Tue Mar 24 2026 09:17:36 GMT+0000 (Coordinated Universal Time),10,0,0
1774365126,Tue Mar 24 2026 15:12:06 GMT+0000 (Coordinated Universal Time),10,2,1
1774369743,Tue Mar 24 2026 16:29:03 GMT+0000 (Coordinated Universal Time),10,3,1
1774369813,Tue Mar 24 2026 16:30:13 GMT+0000 (Coordinated Universal Time),10,4,-1
1774394826,Tue Mar 24 2026 23:27:06 GMT+0000 (Coordinated Universal Time),10,7,0
1774343864,Tue Mar 24 2026 09:17:44 GMT+0000 (Coordinated Universal Time),11,0,0
1774369927,Tue Mar 24 2026 16:32:07 GMT+0000 (Coordinated Universal Time),11,4,-1
1774343871,Tue Mar 24 2026 09:17:51 GMT+0000 (Coordinated Universal Time),12,0,0
1774363540,Tue Mar 24 2026 14:45:40 GMT+0000 (Coordinated Universal Time),12,1,-1
1774369791,Tue Mar 24 2026 16:29:51 GMT+0000 (Coordinated Universal Time),12,4,1
1774374400,Tue Mar 24 2026 17:46:40 GMT+0000 (Coordinated Universal Time),12,5,1
1774394823,Tue Mar 24 2026 23:27:03 GMT+0000 (Coordinated Universal Time),12,7,0
1774414798,Wed Mar 25 2026 04:59:58 GMT+0000 (Coordinated Universal Time),12,9,1
1774369577,Tue Mar 24 2026 16:26:17 GMT+0000 (Coordinated Universal Time),12,15,1
1774343879,Tue Mar 24 2026 09:17:59 GMT+0000 (Coordinated Universal Time),13,0,0
1774369888,Tue Mar 24 2026 16:31:28 GMT+0000 (Coordinated Universal Time),13,4,1
